============================= test session starts =============================
platform win32 -- Python 3.14.2, pytest-9.0.2, pluggy-1.6.0 -- C:\Users\Rodrigo\AppData\Local\Programs\Python\Python314\python.exe
cachedir: .pytest_cache
django: version: 6.0.1, settings: caixa_nfse.settings.test (from option)
rootdir: C:\Users\Rodrigo\Projetos\wCaixaDigital
configfile: pytest.ini (WARNING: ignoring pytest config in pyproject.toml!)
plugins: anyio-4.12.1, Faker-40.1.2, django-4.11.1
collecting ... collected 262 items

caixa_nfse/api/tests/test_serializers.py::TestCaixaSerializer::test_valid_data PASSED [  0%]
caixa_nfse/api/tests/test_serializers.py::TestCaixaSerializer::test_read_only_fields PASSED [  0%]
caixa_nfse/api/tests/test_serializers.py::TestClienteSerializer::test_valid_data PASSED [  1%]
caixa_nfse/api/tests/test_serializers.py::TestNotaFiscalSerializer::test_serialize_data PASSED [  1%]
caixa_nfse/api/tests/test_views.py::TestCaixaViewSet::test_list_caixas_tenant_isolation FAILED [  1%]
caixa_nfse/api/tests/test_views.py::TestCaixaViewSet::test_list_no_tenant_user FAILED [  2%]
caixa_nfse/api/tests/test_views.py::TestCaixaViewSet::test_create_caixa PASSED [  2%]
caixa_nfse/api/tests/test_views.py::TestClienteViewSet::test_list_clientes FAILED [  3%]
caixa_nfse/api/tests/test_views.py::TestClienteViewSet::test_create_cliente PASSED [  3%]
caixa_nfse/api/tests/test_views.py::TestNotaFiscalViewSet::test_list_notas FAILED [  3%]
caixa_nfse/api/tests/test_views.py::TestNotaFiscalViewSet::test_create_nota_simple FAILED [  4%]
caixa_nfse/api/tests/test_views.py::TestAuth::test_unauthenticated PASSED [  4%]
caixa_nfse/auditoria/tests/test_internals.py::TestAuditoriaInternals::test_signal_user_logged_in FAILED [  4%]
caixa_nfse/auditoria/tests/test_internals.py::TestAuditoriaInternals::test_signal_user_logged_out FAILED [  5%]
caixa_nfse/auditoria/tests/test_internals.py::TestAuditoriaInternals::test_signal_login_failed FAILED [  5%]
caixa_nfse/auditoria/tests/test_internals.py::TestAuditoriaInternals::test_decorator_audit_action_success FAILED [  6%]
caixa_nfse/auditoria/tests/test_internals.py::TestAuditoriaInternals::test_decorator_audit_action_fail_status PASSED [  6%]
caixa_nfse/auditoria/tests/test_models.py::TestRegistroAuditoriaModel::test_create_generates_hash PASSED [  6%]
caixa_nfse/auditoria/tests/test_models.py::TestRegistroAuditoriaModel::test_chaining FAILED [  7%]
caixa_nfse/auditoria/tests/test_models.py::TestRegistroAuditoriaModel::test_immutability_update PASSED [  7%]
caixa_nfse/auditoria/tests/test_models.py::TestRegistroAuditoriaModel::test_immutability_delete PASSED [  8%]
caixa_nfse/auditoria/tests/test_models.py::TestRegistroAuditoriaModel::test_registrar_helper PASSED [  8%]
caixa_nfse/auditoria/tests/test_models.py::TestRegistroAuditoriaModel::test_registrar_with_request FAILED [  8%]
caixa_nfse/auditoria/tests/test_models.py::TestRegistroAuditoriaModel::test_integridade_tenant_filter FAILED [  9%]
caixa_nfse/auditoria/tests/test_models.py::TestRegistroAuditoriaModel::test_integridade_ok PASSED [  9%]
caixa_nfse/auditoria/tests/test_models.py::TestRegistroAuditoriaModel::test_integridade_broken FAILED [  9%]
caixa_nfse/auditoria/tests/test_views.py::TestAuditoriaViews::test_list_access PASSED [ 10%]
caixa_nfse/auditoria/tests/test_views.py::TestAuditoriaViews::test_list_filters PASSED [ 10%]
caixa_nfse/auditoria/tests/test_views.py::TestAuditoriaViews::test_detail_access FAILED [ 11%]
caixa_nfse/auditoria/tests/test_views.py::TestAuditoriaViews::test_export_csv FAILED [ 11%]
caixa_nfse/auditoria/tests/test_views.py::TestAuditoriaViews::test_integrity_check_json FAILED [ 11%]
caixa_nfse/auditoria/tests/test_views.py::TestAuditoriaViews::test_integrity_report_fail FAILED [ 12%]
caixa_nfse/backoffice/tests/test_forms.py::TestTenantOnboardingForm::test_create_tenant_and_admin PASSED [ 12%]
caixa_nfse/backoffice/tests/test_forms.py::TestTenantUserForm::test_create_user_requires_password PASSED [ 12%]
caixa_nfse/backoffice/tests/test_forms.py::TestTenantUserForm::test_update_user_password_optional PASSED [ 13%]
caixa_nfse/backoffice/tests/test_views.py::TestPlatformDashboardView::test_access_denied_for_non_superuser PASSED [ 13%]
caixa_nfse/backoffice/tests/test_views.py::TestPlatformDashboardView::test_access_allowed_superuser PASSED [ 14%]
caixa_nfse/backoffice/tests/test_views.py::TestTenantCRUD::test_update_tenant PASSED [ 14%]
caixa_nfse/backoffice/tests/test_views.py::TestTenantCRUD::test_create_tenant_flow FAILED [ 14%]
caixa_nfse/backoffice/tests/test_views.py::TestTenantCRUD::test_delete_tenant FAILED [ 15%]
caixa_nfse/backoffice/tests/test_views.py::TestTenantUserManagement::test_add_user_form_view PASSED [ 15%]
caixa_nfse/backoffice/tests/test_views.py::TestTenantUserManagement::test_add_user_htmx PASSED [ 16%]
caixa_nfse/backoffice/tests/test_views.py::TestTenantUserManagement::test_update_user_htmx PASSED [ 16%]
caixa_nfse/caixa/tests/test_forms.py::TestMovimentoCaixaForm::test_clean_valor_formato_brasileiro PASSED [ 16%]
caixa_nfse/caixa/tests/test_forms.py::TestMovimentoCaixaForm::test_clean_valor_simples PASSED [ 17%]
caixa_nfse/caixa/tests/test_forms.py::TestMovimentoCaixaForm::test_clean_valor_com_rs PASSED [ 17%]
caixa_nfse/caixa/tests/test_forms.py::TestMovimentoCaixaForm::test_clean_valor_vazio_retorna_zero PASSED [ 17%]
caixa_nfse/caixa/tests/test_forms.py::TestMovimentoCaixaForm::test_clean_valor_invalido PASSED [ 18%]
caixa_nfse/caixa/tests/test_forms.py::TestMovimentoCaixaForm::test_tipo_inicial_entrada PASSED [ 18%]
caixa_nfse/caixa/tests/test_forms.py::TestFechamentoCaixaForm::test_clean_saldo_informado_formato_brasileiro PASSED [ 19%]
caixa_nfse/caixa/tests/test_forms.py::TestFechamentoCaixaForm::test_clean_saldo_informado_simples PASSED [ 19%]
caixa_nfse/caixa/tests/test_forms.py::TestFechamentoCaixaForm::test_clean_saldo_vazio_erro PASSED [ 19%]
caixa_nfse/caixa/tests/test_forms.py::TestFechamentoCaixaForm::test_justificativa_obrigatoria_com_diferenca PASSED [ 20%]
caixa_nfse/caixa/tests/test_forms.py::TestFechamentoCaixaForm::test_justificativa_nao_obrigatoria_sem_diferenca PASSED [ 20%]
caixa_nfse/caixa/tests/test_forms.py::TestFechamentoCaixaForm::test_diferenca_pequena_tolerada PASSED [ 20%]
caixa_nfse/caixa/tests/test_forms.py::TestAbrirCaixaForm::test_form_fields PASSED [ 21%]
caixa_nfse/caixa/tests/test_forms.py::TestAbrirCaixaForm::test_valid_form PASSED [ 21%]
caixa_nfse/caixa/tests/test_models.py::TestCaixaModel::test_create_caixa PASSED [ 22%]
caixa_nfse/caixa/tests/test_models.py::TestCaixaModel::test_caixa_str PASSED [ 22%]
caixa_nfse/caixa/tests/test_models.py::TestCaixaModel::test_caixa_status_inicial PASSED [ 22%]
caixa_nfse/caixa/tests/test_models.py::TestCaixaModel::test_caixa_esta_aberto_false PASSED [ 23%]
caixa_nfse/caixa/tests/test_models.py::TestCaixaModel::test_caixa_unique_identificador_per_tenant PASSED [ 23%]
caixa_nfse/caixa/tests/test_models.py::TestAberturaCaixaModel::test_create_abertura PASSED [ 24%]
caixa_nfse/caixa/tests/test_models.py::TestAberturaCaixaModel::test_saldo_movimentos_sem_movimentos PASSED [ 24%]
caixa_nfse/caixa/tests/test_models.py::TestAberturaCaixaModel::test_saldo_movimentos_com_entrada PASSED [ 24%]
caixa_nfse/caixa/tests/test_models.py::TestAberturaCaixaModel::test_saldo_movimentos_com_saida PASSED [ 25%]
caixa_nfse/caixa/tests/test_models.py::TestAberturaCaixaModel::test_total_entradas PASSED [ 25%]
caixa_nfse/caixa/tests/test_models.py::TestAberturaCaixaModel::test_total_saidas PASSED [ 25%]
caixa_nfse/caixa/tests/test_models.py::TestAberturaCaixaModel::test_is_operacional_hoje FAILED [ 26%]
caixa_nfse/caixa/tests/test_models.py::TestMovimentoCaixaModel::test_create_movimento PASSED [ 26%]
caixa_nfse/caixa/tests/test_models.py::TestMovimentoCaixaModel::test_movimento_is_entrada PASSED [ 27%]
caixa_nfse/caixa/tests/test_models.py::TestMovimentoCaixaModel::test_movimento_is_saida PASSED [ 27%]
caixa_nfse/caixa/tests/test_models.py::TestMovimentoCaixaModel::test_movimento_sangria_is_saida PASSED [ 27%]
caixa_nfse/caixa/tests/test_models.py::TestMovimentoCaixaModel::test_movimento_suprimento_is_entrada PASSED [ 28%]
caixa_nfse/caixa/tests/test_models.py::TestFechamentoCaixaModel::test_create_fechamento PASSED [ 28%]
caixa_nfse/caixa/tests/test_models.py::TestFechamentoCaixaModel::test_fechamento_diferenca_zero PASSED [ 29%]
caixa_nfse/caixa/tests/test_models.py::TestFechamentoCaixaModel::test_fechamento_diferenca_positiva PASSED [ 29%]
caixa_nfse/caixa/tests/test_models.py::TestFechamentoCaixaModel::test_fechamento_diferenca_negativa PASSED [ 29%]
caixa_nfse/caixa/tests/test_models.py::TestFechamentoCaixaModel::test_fechamento_status_inicial PASSED [ 30%]
caixa_nfse/caixa/tests/test_views.py::TestCaixaListView::test_list_caixas_authenticated PASSED [ 30%]
caixa_nfse/caixa/tests/test_views.py::TestCaixaListView::test_list_caixas_unauthenticated PASSED [ 30%]
caixa_nfse/caixa/tests/test_views.py::TestCaixaCreateView::test_create_caixa_success PASSED [ 31%]
caixa_nfse/caixa/tests/test_views.py::TestCaixaCreateView::test_create_caixa_duplicate_error PASSED [ 31%]
caixa_nfse/caixa/tests/test_views.py::TestAbrirCaixaView::test_get_abrir_caixa_page PASSED [ 32%]
caixa_nfse/caixa/tests/test_views.py::TestAbrirCaixaView::test_abrir_caixa_success PASSED [ 32%]
caixa_nfse/caixa/tests/test_views.py::TestAbrirCaixaView::test_abrir_caixa_already_open_redirect PASSED [ 32%]
caixa_nfse/caixa/tests/test_views.py::TestNovoMovimentoView::test_movimento_success FAILED [ 33%]
caixa_nfse/caixa/tests/test_views.py::TestNovoMovimentoView::test_movimento_invalid_form FAILED [ 33%]
caixa_nfse/caixa/tests/test_views.py::TestFecharCaixaView::test_get_fechar_caixa_page PASSED [ 33%]
caixa_nfse/caixa/tests/test_views.py::TestFecharCaixaView::test_fechar_caixa_success PASSED [ 34%]
caixa_nfse/caixa/tests/test_views.py::TestFecharCaixaView::test_fechar_caixa_error_closed PASSED [ 34%]
caixa_nfse/caixa/tests/test_views_extra.py::TestCaixaUpdateView::test_update_caixa_success PASSED [ 35%]
caixa_nfse/caixa/tests/test_views_extra.py::TestCaixaUpdateView::test_update_caixa_context PASSED [ 35%]
caixa_nfse/caixa/tests/test_views_extra.py::TestListaMovimentosView::test_list_movimentos PASSED [ 35%]
caixa_nfse/caixa/tests/test_views_extra.py::TestFechamentosPendentesView::test_list_pendentes_manager PASSED [ 36%]
caixa_nfse/caixa/tests/test_views_extra.py::TestFechamentosPendentesView::test_list_pendentes_forbidden PASSED [ 36%]
caixa_nfse/caixa/tests/test_views_extra.py::TestAprovarFechamentoView::test_aprovar_fechamento_success PASSED [ 37%]
caixa_nfse/caixa/tests/test_views_extra.py::TestAprovarFechamentoView::test_rejeitar_fechamento_success PASSED [ 37%]
caixa_nfse/caixa/tests/test_views_extra.py::TestNovoMovimentoExtra::test_movimento_saida_decreases_balance FAILED [ 37%]
caixa_nfse/caixa/tests/test_views_extra.py::TestNovoMovimentoExtra::test_block_retroactive_movement FAILED [ 38%]
caixa_nfse/caixa/tests/test_views_extra.py::TestNovoMovimentoExtra::test_htmx_request_returns_partial FAILED [ 38%]
caixa_nfse/caixa/tests/test_views_extra.py::TestFecharCaixaExtra::test_fechar_htmx_response PASSED [ 38%]
caixa_nfse/caixa/tests/test_views_extra.py::TestFecharCaixaExtra::test_fechar_com_diferenca PASSED [ 39%]
caixa_nfse/caixa/tests/test_views_extra.py::TestFecharCaixaExtra::test_fechar_htmx_post_success PASSED [ 39%]
caixa_nfse/caixa/tests/test_views_extra.py::TestCaixaDetailView::test_detail_view PASSED [ 40%]
caixa_nfse/caixa/tests/test_views_extra.py::TestCaixaCreateViewExtra::test_create_caixa_context PASSED [ 40%]
caixa_nfse/caixa/tests/test_views_extra.py::TestAbrirCaixaExtra::test_abrir_htmx_post_success PASSED [ 40%]
caixa_nfse/caixa/tests/test_views_extra.py::TestAbrirCaixaExtra::test_abrir_htmx_get_partial PASSED [ 41%]
caixa_nfse/caixa/tests/test_views_extra.py::TestNovoMovimentoHTMX::test_movimento_htmx_post_success FAILED [ 41%]
caixa_nfse/caixa/tests/test_views_extra.py::TestCoverageGapView::test_tenant_mixin_no_tenant PASSED [ 41%]
caixa_nfse/caixa/tests/test_views_extra.py::TestCoverageGapView::test_fechar_caixa_permission_denied PASSED [ 42%]
caixa_nfse/caixa/tests/test_views_extra.py::TestCoverageGapView::test_fechar_caixa_manager_other_operator PASSED [ 42%]
caixa_nfse/caixa/tests/test_views_extra.py::TestCoverageGapView::test_fechar_caixa_post_no_abertura FAILED [ 43%]
caixa_nfse/caixa/tests/test_views_extra.py::TestCoverageGapView::test_rejeitar_fechamento_sem_justificativa ERROR [ 43%]
caixa_nfse/caixa/tests/test_views_extra.py::TestCoverageGapView::test_novo_movimento_retroactive_htmx FAILED [ 43%]
caixa_nfse/caixa/tests/test_views_extra.py::TestCoverageFinal::test_fechar_caixa_access_denied_for_non_opener_non_manager PASSED [ 44%]
caixa_nfse/caixa/tests/test_views_extra.py::TestCoverageFinal::test_calcular_detalhamento_loop PASSED [ 44%]
caixa_nfse/caixa/tests/test_views_extra.py::TestCoverageFinal::test_fechar_caixa_post_race_condition FAILED [ 45%]
caixa_nfse/clientes/tests/test_models.py::TestClienteModel::test_create_cliente_pf PASSED [ 45%]
caixa_nfse/clientes/tests/test_models.py::TestClienteModel::test_valid_documents FAILED [ 45%]
caixa_nfse/clientes/tests/test_models.py::TestClienteModel::test_create_cliente_pj PASSED [ 46%]
caixa_nfse/clientes/tests/test_models.py::TestClienteModel::test_invalid_cpf PASSED [ 46%]
caixa_nfse/clientes/tests/test_models.py::TestClienteModel::test_invalid_cnpj PASSED [ 46%]
caixa_nfse/clientes/tests/test_models.py::TestClienteModel::test_invalid_cpf_checksum PASSED [ 47%]
caixa_nfse/clientes/tests/test_models.py::TestClienteModel::test_invalid_cnpj_checksum PASSED [ 47%]
caixa_nfse/clientes/tests/test_models.py::TestClienteModel::test_get_absolute_url PASSED [ 48%]
caixa_nfse/clientes/tests/test_models.py::TestClienteModel::test_documento_formatado_fallback PASSED [ 48%]
caixa_nfse/clientes/tests/test_models.py::TestClienteModel::test_unique_document_per_tenant PASSED [ 48%]
caixa_nfse/clientes/tests/test_models.py::TestClienteModel::test_allows_duplicate_document_different_tenants PASSED [ 49%]
caixa_nfse/clientes/tests/test_models.py::TestClienteModel::test_endereco_completo PASSED [ 49%]
caixa_nfse/clientes/tests/test_models.py::TestClienteModel::test_documento_formatado PASSED [ 50%]
caixa_nfse/clientes/tests/test_views.py::TestClienteViews::test_list_access PASSED [ 50%]
caixa_nfse/clientes/tests/test_views.py::TestClienteViews::test_list_tenant_isolation PASSED [ 50%]
caixa_nfse/clientes/tests/test_views.py::TestClienteViews::test_detail_access PASSED [ 51%]
caixa_nfse/clientes/tests/test_views.py::TestClienteViews::test_detail_tenant_isolation PASSED [ 51%]
caixa_nfse/clientes/tests/test_views.py::TestClienteViews::test_create_get PASSED [ 51%]
caixa_nfse/clientes/tests/test_views.py::TestClienteViews::test_create_htmx_get PASSED [ 52%]
caixa_nfse/clientes/tests/test_views.py::TestClienteViews::test_create_post_success FAILED [ 52%]
caixa_nfse/clientes/tests/test_views.py::TestClienteViews::test_create_post_htmx_success FAILED [ 53%]
caixa_nfse/clientes/tests/test_views.py::TestClienteViews::test_update_access PASSED [ 53%]
caixa_nfse/clientes/tests/test_views.py::TestClienteViews::test_update_post_success PASSED [ 53%]
caixa_nfse/contabil/tests/test_models.py::TestPlanoContas::test_create_plano_contas PASSED [ 54%]
caixa_nfse/contabil/tests/test_models.py::TestPlanoContas::test_unique_codigo_per_tenant PASSED [ 54%]
caixa_nfse/contabil/tests/test_models.py::TestPlanoContas::test_allows_duplicate_codigo_different_tenants PASSED [ 54%]
caixa_nfse/contabil/tests/test_models.py::TestPlanoContas::test_hierarquia_contas PASSED [ 55%]
caixa_nfse/contabil/tests/test_models.py::TestCentroCusto::test_create_centro_custo PASSED [ 55%]
caixa_nfse/contabil/tests/test_models.py::TestCentroCusto::test_unique_codigo_per_tenant PASSED [ 56%]
caixa_nfse/contabil/tests/test_models.py::TestLancamentoContabil::test_create_lancamento PASSED [ 56%]
caixa_nfse/contabil/tests/test_models.py::TestLancamentoContabil::test_create_with_partidas PASSED [ 56%]
caixa_nfse/contabil/tests/test_models.py::TestLancamentoContabil::test_estorno_relationship PASSED [ 57%]
caixa_nfse/contabil/tests/test_models.py::TestPartidaLancamento::test_create_partida PASSED [ 57%]
caixa_nfse/contabil/tests/test_views.py::TestPlanoContasListView::test_list_plano_contas FAILED [ 58%]
caixa_nfse/contabil/tests/test_views.py::TestPlanoContasListView::test_filter_tenant FAILED [ 58%]
caixa_nfse/contabil/tests/test_views.py::TestPlanoContasListView::test_access_without_tenant FAILED [ 58%]
caixa_nfse/contabil/tests/test_views.py::TestLancamentoListView::test_list_lancamentos FAILED [ 59%]
caixa_nfse/contabil/tests/test_views.py::TestLancamentoDetailView::test_detail_lancamento PASSED [ 59%]
caixa_nfse/contabil/tests/test_views.py::TestExportarLancamentosView::test_export_csv PASSED [ 59%]
caixa_nfse/core/tests/test_commands.py::TestManagementCommands::test_create_admin_success PASSED [ 60%]
caixa_nfse/core/tests/test_commands.py::TestManagementCommands::test_create_admin_already_exists PASSED [ 60%]
caixa_nfse/core/tests/test_commands.py::TestManagementCommands::test_create_sample_data_success PASSED [ 61%]
caixa_nfse/core/tests/test_forms.py::TestFormaPagamentoForm::test_valid_form PASSED [ 61%]
caixa_nfse/core/tests/test_forms.py::TestFormaPagamentoForm::test_default_ativo PASSED [ 61%]
caixa_nfse/core/tests/test_forms.py::TestFormaPagamentoForm::test_invalid_taxa PASSED [ 62%]
caixa_nfse/core/tests/test_forms.py::TestFormaPagamentoForm::test_init_with_instance PASSED [ 62%]
caixa_nfse/core/tests/test_models.py::TestTenantModel::test_create_tenant PASSED [ 62%]
caixa_nfse/core/tests/test_models.py::TestTenantModel::test_endereco_completo PASSED [ 63%]
caixa_nfse/core/tests/test_models.py::TestTenantModel::test_endereco_completo_with_complemento PASSED [ 63%]
caixa_nfse/core/tests/test_models.py::TestTenantModel::test_certificado_validity PASSED [ 64%]
caixa_nfse/core/tests/test_models.py::TestTenantModel::test_proximo_numero_rps PASSED [ 64%]
caixa_nfse/core/tests/test_models.py::TestUserModel::test_create_user PASSED [ 64%]
caixa_nfse/core/tests/test_models.py::TestUserModel::test_create_user_no_email PASSED [ 65%]
caixa_nfse/core/tests/test_models.py::TestUserModel::test_create_superuser PASSED [ 65%]
caixa_nfse/core/tests/test_models.py::TestUserModel::test_create_superuser_validation PASSED [ 66%]
caixa_nfse/core/tests/test_models.py::TestFormaPagamentoModel::test_create_forma_pagamento PASSED [ 66%]
caixa_nfse/core/tests/test_models.py::TestFormaPagamentoModel::test_str_representation PASSED [ 66%]
caixa_nfse/core/tests/test_models.py::TestFormaPagamentoModel::test_unique_name_per_tenant PASSED [ 67%]
caixa_nfse/core/tests/test_models.py::TestCoreUtils::test_generate_hash PASSED [ 67%]
caixa_nfse/core/tests/test_models.py::TestCoreUtils::test_tenant_manager_all_with_inactive PASSED [ 67%]
caixa_nfse/core/tests/test_models.py::TestCoreUtils::test_generate_hash_chain PASSED [ 68%]
caixa_nfse/core/tests/test_views.py::TestDashboardView::test_redirect_superuser PASSED [ 68%]
caixa_nfse/core/tests/test_views.py::TestDashboardView::test_dashboard_admin_template PASSED [ 69%]
caixa_nfse/core/tests/test_views.py::TestDashboardView::test_dashboard_operador_template PASSED [ 69%]
caixa_nfse/core/tests/test_views.py::TestDashboardView::test_dashboard_admin_context_data PASSED [ 69%]
caixa_nfse/core/tests/test_views.py::TestDashboardView::test_dashboard_alerts_and_totals FAILED [ 70%]
caixa_nfse/core/tests/test_views.py::TestDashboardView::test_dashboard_operador_context_full FAILED [ 70%]
caixa_nfse/core/tests/test_views.py::TestDashboardView::test_dashboard_superuser_global_view PASSED [ 70%]
caixa_nfse/core/tests/test_views.py::TestHealthCheckView::test_health_check PASSED [ 71%]
caixa_nfse/core/tests/test_views.py::TestFormaPagamentoSettings::test_list_formas_pagamento PASSED [ 71%]
caixa_nfse/core/tests/test_views.py::TestFormaPagamentoSettings::test_create_forma_pagamento PASSED [ 72%]
caixa_nfse/core/tests/test_views.py::TestFormaPagamentoSettings::test_update_forma_pagamento PASSED [ 72%]
caixa_nfse/core/tests/test_views.py::TestFormaPagamentoSettings::test_delete_forma_pagamento PASSED [ 72%]
caixa_nfse/core/tests/test_views.py::TestMovimentosListView::test_list_movimentos_gerente PASSED [ 73%]
caixa_nfse/core/tests/test_views.py::TestMovimentosListView::test_list_movimentos_operador PASSED [ 73%]
caixa_nfse/core/tests/test_views.py::TestMovimentosListView::test_list_movimentos_filters PASSED [ 74%]
caixa_nfse/core/tests/test_views.py::TestSettingsView::test_settings_context PASSED [ 74%]
caixa_nfse/core/tests/test_views.py::TestTenantUserSettings::test_list_users PASSED [ 74%]
caixa_nfse/core/tests/test_views.py::TestTenantUserSettings::test_create_user PASSED [ 75%]
caixa_nfse/core/tests/test_views.py::TestTenantUserSettings::test_update_user PASSED [ 75%]
caixa_nfse/core/tests/test_views.py::TestFormaPagamentoContexts::test_create_forma_pagamento_context PASSED [ 75%]
caixa_nfse/core/tests/test_views.py::TestFormaPagamentoContexts::test_update_forma_pagamento_context PASSED [ 76%]
caixa_nfse/core/tests/test_views.py::TestFormaPagamentoContexts::test_delete_forma_pagamento_not_found PASSED [ 76%]
caixa_nfse/fiscal/tests/test_views.py::TestFiscalViews::test_livro_list_access ERROR [ 77%]
caixa_nfse/fiscal/tests/test_views.py::TestFiscalViews::test_relatorio_iss_access ERROR [ 77%]
caixa_nfse/fiscal/tests/test_views.py::TestFiscalViews::test_export_fiscal_access ERROR [ 77%]
caixa_nfse/nfse/tests/test_models.py::TestServicoMunicipalModel::test_create_servico PASSED [ 78%]
caixa_nfse/nfse/tests/test_models.py::TestServicoMunicipalModel::test_unique_codigo_lc116_municipio PASSED [ 78%]
caixa_nfse/nfse/tests/test_models.py::TestNotaFiscalServicoModel::test_calculation_on_save PASSED [ 79%]
caixa_nfse/nfse/tests/test_models.py::TestNotaFiscalServicoModel::test_calculation_with_retention PASSED [ 79%]
caixa_nfse/nfse/tests/test_models.py::TestNotaFiscalServicoModel::test_calculation_with_other_taxes PASSED [ 79%]
caixa_nfse/nfse/tests/test_models.py::TestNotaFiscalServicoModel::test_pode_cancelar PASSED [ 80%]
caixa_nfse/nfse/tests/test_models.py::TestNotaFiscalServicoModel::test_str_representation PASSED [ 80%]
caixa_nfse/nfse/tests/test_models.py::TestNotaFiscalServicoModel::test_unique_rps_per_tenant PASSED [ 80%]
caixa_nfse/nfse/tests/test_models.py::TestEventoFiscalModel::test_create_evento PASSED [ 81%]
